id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"291S0291  8645";"0291  8645";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"LA CLAIRE FONTAINE";"Toutes recherches relatives aux traditions et aux coutumes des anciennes sociEtès forestières traditionnelles d'europe";"000000";"000000";"Chez mme bignon louisette";"16 chemin de kerohan";"";"29224";"HANVEC";"29078";"PM";"";"";"A";"";"2006-03-16  03:42:57"
"291S0291 00391";"0291 00391";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION POUR LA GESTION DU RESTAURANT DU CENTRE REGIONAL OPERATIONNEL DE SURVEILLANCE ET DE SAUVETAGE DE CORSEN-OUESSANT (VOIR 3911)";"Assurer la gestion du restaurant du personnel affecte au centre regional operationnel de surveillance et de sauvetage de corsen";"000000";"000000";"Pointe du corsen";"";"";"29229";"PLOUARZEL";"29177";"PM";"";"W291006940";"R";"";"2015-10-21  10:28:34"
"291S02910";"02910";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"BIEN NAITRE";"Mettre en oeuvre les moyens qui favorisent un accouchement et une naissance bien vecus et un meilleur accueil de l'enfant au sein de la famille et de la societe";"000000";"000000";"Maison de quartier de kerinou";"Rue commandant somme py";"";"29200";"BREST";"29019";"PM";"";"";"A";"";"2006-03-16  03:42:56"
"291S02910 1963";"02910 1963";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION FAMILLES RURALES DE LE CONQUET-TREBABU";"Assurer la défense de tous les interets des familles rurales sur le plan moral, culturel, économique , social et civique.";"000000";"000000";"Mairie";"Parc de Beauséjour";"";"29217";"CONQUET";"29040";"PM";"";"";"A";"";"2006-03-16  03:43:03"
"291S02910 6291";"02910 6291";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"COLLèGE NATIONAL D'OCCLUSODONTOLOGIE-SECTION BRETAGNE OCCIDENTALE";"orientation et la promotion de l'enseignement de la recherche et de la pratique clinique en occlusodontologie. Participation à la formation post-universitaire. Organisation de manifestatiobns scientifiques. Publication de documents et de revues. Formulation sur l'ensemble des matériels et matériaux destinés à l'occlusodontologie. Liaison avec les enseignants d'occlusodontoilogie d'autres facultés ou pays étrangers.";"000000";"000000";"Chez DR BODERE Celine";"10, rue Joseph Kessel La Cavale Blanche";"";"29200";"BREST";"29019";"PM";"";"";"A";"";"2006-03-16  03:43:04"
"291S029100 528";"029100 528";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"TENNIS DE TABLE LOPERHETOIS (ERREUR ENREGISTREMENT - VOIR N° 5287)";"Organiser et developper la pratique du tennis de table sous toutes ses formes, organiser des competitions et tournois de toutes categories inherentes a cette pratique, etc...";"000000";"000000";"Chez m. coat michel";"12 lot du coadic";"";"29213";"LOPERHET";"29140";"PM";"";"";"A";"";"2006-03-16  03:43:00"
"291S0291000004";"0291000004";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION CULTUELLE ISRAELITE DE BREST";"Elle a pour but la Célébration du Culte et l'enseignement de l'hébreu";"000000";"000000";"40, rue de la République";"";"";"29200";"BREST";"29019";"PM";"";"W291006964";"R";"";"2015-11-10  11:14:05"
"291S0291000027";"0291000027";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION DES AMIS DE L'ECOLE BONNE NOUVELLE";"Grouper des amis de l'ecole bonne nouvelle";"000000";"000000";"17 rue bonne nouvelle";"";"";"29200";"BREST";"29019";"PM";"";"";"D";"";"2006-03-16  03:42:58"
"291S0291000050";"0291000050";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"SOCIETE DE CHASSE DE TREOUERGAT";"Chasse et peche sur les terrains dont elle obtiendra la jouissance en vue de cet objet, ainsi que la protection du gibier, notamment par la destruction des animaux nuisibles, la repression du braconnage";"000000";"000000";"Mairie";"";"";"29290";"TREOUERGAT";"29299";"PM";"";"W291006942";"R";"";"2015-10-22  10:17:27"
"291S0291000070";"0291000070";"";"291S";"0001-01-01";"0001-01-01";"D";"S";"ETOILE SAINT-EDERN";"Pratique actuellement le football, et va commerncer incessamment l'athlétisme et le basket- ball";"000000";"000000";"Patronage de Plouédern";"";"";"29220";"PLOUEDERN";"29181";"PM";"";"W291005968";"R";"";"2013-10-14  10:27:55"
